Network failure,Counter A,,
0,26457,,
0,28318,,
1,36138,,
1,54889,,
1,43825,, 
0,22434,,
1,54854,,
1,55277,,
0,19718,,
0,35047,,
0,23314,,
0,22457,,
0,16378,,
1,37756,,
0,34027,,
0,25533,,
1,54518,,
0,28362,,
0,23895,,
1,49687,,
1,39273,,
0,19474,,
0,23607,,
1,40359,,
1,44364,,
1,41599,,
1,38860,,
1,48027,,
1,49426,,
1,38500,,
1,49559,,
1,54651,,
0,28561,,
1,45539,,
1,53916,,
1,46055,,
0,20683,,
0,30407,,
1,42403,,
1,38748,,
1,48698,,
1,52657,,
1,36002,,
1,41792,,
0,21601,,
1,39532,,
1,47003,,
0,30039,,
1,50667,,
1,51034,,
1,38613,,
0,17926,,
0,20180,,
0,33270,,
0,27368,,
1,50488,,
1,42343,,
1,45606,,
0,31670,,
0,17721,,
1,48208,,
1,52560,,
1,51645,,
0,30306,,
1,51395,,
0,30024,,
1,50852,,
1,36729,,
1,38316,,
0,33896,,
1,36116,,
1,35509,,
0,32353,,
1,41234,,
1,49613,,
1,44154,,
0,16777,,
1,47586,,
1,38262,,
0,30130,,
0,16433,,
1,43936,,
0,17988,,
1,38009,,
0,29154,,
1,46938,,
1,52212,,
0,15801,,
0,22903,,
0,24640,,
0,32059,,
1,36589,,
1,43437,,
0,27964,,
1,53804,,
1,38817,,
1,54214,,
1,41549,,
0,26141,,
1,37861,,
1,45416,,
0,18682,,
1,47672,,
1,37352,,
1,45715,,
1,37831,,
0,27043,,
1,49169,,
1,44720,,
0,17500,,
0,22747,,
1,49431,,
1,43355,,
0,24481,,
0,20582,,
0,30983,,
1,36155,,
1,41252,,
1,39389,,
1,38072,,
0,24233,,
0,30517,,
0,25641,,
1,54698,,
1,54764,,
1,45500,,
0,22591,,
0,20069,,
0,35178,,
0,16724,,
1,50135,,
0,16143,,
1,55086,,
1,44002,,
0,27531,,
0,32880,,
1,45531,,
1,42429,,
1,55270,,
0,16216,,
1,52901,,
1,50622,,
0,23966,,
1,54945,,
0,32754,,
1,37078,,
0,30551,,
1,49781,,
0,24191,,
0,19666,,
1,39618,,
1,37234,,
1,43094,,
0,19952,,
1,37721,,
1,52584,,
1,44890,,
1,41822,,
1,40612,,
1,45069,,
1,39684,,
0,25945,,
0,30663,,
1,48583,,
0,28668,,
1,37900,,
1,37969,,
1,35607,,
1,40993,,
1,37989,,
0,33809,,
0,30578,,
1,36617,,
1,45535,,
0,25357,,
0,23914,,
1,46915,,
0,33680,,
1,38108,,
0,28322,,
1,43589,,
1,52685,,
1,39004,,
1,54982,,
0,17413,,
0,17159,,
1,40688,,
0,27996,,
0,18108,,
1,40758,,
0,21294,,
0,21756,,
0,28568,,
0,31333,,
0,26970,,
0,16942,,
1,49825,,
0,33526,,
1,46400,,
0,34677,,
1,45295,,
0,28716,,
1,47556,,
1,37869,,
0,22261,,
1,50536,,
1,47979,,
0,19125,,
1,39903,,
1,37137,,
1,43377,,
1,44718,,
0,17352,,
0,23878,,
0,21463,,
0,16407,,
1,40720,,
1,49883,,
1,52494,,
0,22082,,
0,23891,,
0,17774,,
0,32509,,
0,25165,,
0,25445,,
0,25571,,
1,45701,,
0,26309,,
0,16854,,
0,22597,,
1,37497,,
0,18620,,
1,53441,,
1,46679,,
1,41738,,
0,32449,,
0,30994,,
0,34383,,
0,24844,,
1,39931,,
1,41848,,
0,27140,,
0,28400,,
1,54777,,
0,25366,,
0,32798,,
0,30825,,
0,23352,,
1,41610,,
1,44592,,
1,50386,,
0,30173,,
0,28816,,
1,51166,,
0,34280,,
0,21788,,
1,43382,,
0,26495,,
0,32485,,
0,26868,,
0,20340,,
0,20350,,
0,22015,,
0,17864,,
1,35660,,
1,48333,,
1,52540,,
0,26782,,
0,23067,,
1,37822,,
1,51997,,
1,55319,,
0,17512,,
0,27455,,
1,41435,,
0,33037,,
0,32746,,
0,33403,,
1,39230,,
0,23325,,
0,29982,,
1,37437,,
0,20764,,
0,15776,,
1,52208,,
1,38529,,
0,19516,,
0,33396,,
1,54825,,
1,39011,,
1,54906,,
0,23747,,
1,38487,,
0,20645,,
0,18830,,
0,15736,,
0,20320,,
0,17847,,
1,40163,,
1,45522,,
0,31163,,
1,52352,,
0,34902,,
0,17107,,
0,23414,,
0,31617,,
0,17700,,
0,24736,,
0,24005,,
1,43631,,
1,35735,,
1,51580,,
1,50314,,
1,45034,,
1,40366,,
0,28603,,
1,51820,,
0,20530,,
0,16646,,
0,25503,,
1,40049,,
1,41194,,
0,22077,,
0,22617,,
0,17541,,
0,34616,,
1,50337,,
1,49514,,
0,26887,,
1,53308,,
0,15910,,
1,47012,,
0,26968,,
1,54182,,
0,21198,,
1,40303,,
1,52891,,
1,37906,,
0,29367,,
0,24408,,
1,55375,,
0,17083,,
1,39386,,
1,53738,,
0,22460,,
1,49816,,
0,19086,,
1,43421,,
1,39200,,
0,24786,,
1,51368,,
1,52418,,
0,20686,,
0,32712,,
1,46326,,
0,32711,,
1,39726,,
1,51287,,
1,50607,,
0,22783,,
0,17788,,
0,33593,,
0,19849,,
0,31070,,
1,49068,,
0,22008,,
1,38244,,
0,30460,,
1,36030,,
0,15986,,
1,52321,,
1,54126,,
0,30147,,
0,31115,,
1,48695,,
1,48043,,
0,20650,,
0,16371,,
1,47722,,
0,27440,,
1,50143,,
0,29313,,
0,16503,,
0,34529,,
0,34442,,
0,31691,,
0,25290,,
0,25130,,
1,49706,,
1,41739,,
1,35460,,
0,23536,,
0,27685,,
1,42345,,
0,24695,,
0,27622,,
0,28332,,
1,41496,,
0,34604,,
1,51634,,
1,44745,,
1,39062,,
1,44356,,
0,34068,,
0,34641,,
1,51449,,
0,28717,,
1,52832,,
1,55013,,
1,42682,,
1,48557,,
1,48640,,
0,19764,,
1,36492,,
1,51137,,
1,47321,,
1,38400,,
1,41915,,
0,19261,,
0,26138,,
0,29766,,
1,47465,,
0,24047,,
1,54162,,
1,52233,,
0,18823,,
1,49280,,
1,45272,,
1,44445,,
0,32246,,
1,50458,,
0,22904,,
0,28190,,
1,52176,,
1,39219,,
0,21257,,
1,52424,,
0,15466,,
0,21816,,
0,34369,,
0,16981,,
0,33960,,
0,27176,,
1,39820,,
0,18923,,
0,23132,,
1,45795,,
0,29508,,
0,30187,,
1,54946,,
0,21159,,
0,34135,,
1,47102,,
1,42774,,
0,29791,,
0,21122,,
1,54642,,
0,34136,,
0,33295,,
1,54841,,
1,45627,,
1,36557,,
0,15804,,
0,28890,,
0,21203,,
0,16876,,
0,30154,,
0,22264,,
1,36633,,
0,27337,,
0,31169,,
0,17416,,
0,20744,,
0,17302,,
0,20533,,
1,49519,,
0,24361,,
0,27079,,
1,54470,,
0,24114,,
0,34916,,
0,34576,,
0,24163,,
1,39588,,
0,20030,,
1,40731,,
0,19753,,
0,19093,,
1,38216,,
1,39727,,
0,16713,,
0,22644,,
0,33777,,
1,51336,,
1,40966,,
1,47907,,
1,43658,,
0,30093,,
1,44704,,
1,37251,,
