Network failure,Counter A,Counter B,
0,32389,31776,
0,10128,10025,
0,31962,31782,
0,17350,17224,
0,38109,37227, 
1,34784,31484,
0,13605,13159,
0,28535,26845,
0,25523,25180,
0,28566,28249,
1,2829,2572,
0,32492,31108,
0,1810,1789,
0,3535,3396,
1,7222,6536,
1,953,868,
0,48396,47816,
1,34804,31431,
0,29426,27962,
0,21047,19931,
0,19850,18678,
0,36371,35943,
1,217,199,
1,20542,18741,
1,13674,12574,
0,24374,23009,
0,35128,34387,
1,26657,23995,
0,14362,13553,
0,4875,4663,
1,10639,9901,
0,28802,28153,
0,30546,30534,
0,14405,14225,
0,24776,24423,
0,12630,12224,
0,36868,34953,
0,23140,22668,
0,5723,5712,
0,17285,17264,
1,15944,14628,
0,24709,24192,
0,41588,39708,
0,26491,26434,
1,36327,33329,
1,49286,45205,
0,41713,39626,
0,14184,13370,
1,26994,24525,
0,45123,42302,
0,27659,27339,
1,35681,32238,
0,28694,28630,
1,32702,29713,
1,19732,17921,
1,46625,43398,
1,25821,23578,
1,16939,15435,
0,44521,42729,
0,3863,3809,
0,9932,9480,
0,23353,22550,
0,30905,29365,
1,15845,14326,
0,46323,43365,
0,27062,26938,
0,1691,1644,
0,109,107,
0,43203,42369,
0,27071,26531,
1,34776,31605,
0,6836,6546,
0,46910,44788,
0,32612,30491,
0,43196,42813,
1,1589,1474,
1,6517,5884,
1,38102,35407,
1,42045,38772,
0,15012,14619,
0,44247,43282,
1,32751,30567,
1,9741,8841,
1,49441,44879,
0,10667,10648,
0,32625,32069,
0,12979,12379,
0,2513,2436,
0,15328,14788,
1,36976,34476,
1,46243,41667,
0,41243,39660,
0,14197,13729,
0,42611,40251,
1,3293,3055,
0,41293,40946,
0,40601,40089,
0,39587,38072,
0,20482,19811,
1,37547,35067,
1,29736,26811,
0,31560,31059,
0,39234,38872,
1,13114,12221,
1,48151,43965,
0,7905,7854,
1,30261,28248,
1,10672,9797,
0,38340,35851,
0,10656,10495,
0,12659,12355,
1,14180,12944,
0,33283,32922,
0,35478,34178,
0,25698,25223,
0,21952,20844,
0,11057,10935,
0,21618,20393,
0,45179,44971,
1,19391,18019,
1,19905,18153,
0,27897,26991,
0,25937,25469,
0,11512,10940,
0,14874,14240,
0,25545,24336,
0,49929,47713,
0,8765,8211,
0,35884,34955,
0,5636,5457,
1,33944,30576,
1,38892,35713,
0,20702,20566,
0,26469,26410,
1,36636,34145,
1,30538,28011,
0,9791,9625,
1,31147,29101,
0,49911,48161,
0,19536,19029,
0,20626,20184,
0,40206,37657,
0,17336,16660,
1,33452,31199,
0,23911,22424,
0,35961,33615,
1,37198,34336,
0,13721,13006,
0,40832,39072,
0,26581,26115,
0,37996,35986,
0,7559,7150,
0,24970,24665,
1,10614,9699,
1,16118,14793,
1,2223,2042,
1,18111,16637,
0,20707,19915,
0,10737,10394,
0,2859,2701,
1,47597,43209,
0,17360,16948,
1,14638,13646,
1,3248,2984,
1,6686,6208,
0,22879,22725,
0,41137,40035,
0,29622,28286,
0,43497,42413,
1,49522,45958,
0,38678,38610,
1,26246,24051,
0,13030,12614,
1,17146,15450,
1,42098,38682,
0,38126,36440,
1,45513,41548,
1,44290,40120,
1,10904,10136,
1,29980,27174,
0,49019,46073,
1,49426,45429,
0,13746,13434,
0,39466,38386,
0,9887,9320,
0,7491,7077,
0,30200,29517,
1,49911,45387,
0,20445,20027,
0,35956,34234,
1,19615,18210,
1,32184,29819,
0,2426,2307,
0,30278,29736,
0,13326,12909,
0,6454,6369,
0,33151,32837,
1,9922,9192,
1,18842,17113,
1,41107,38394,
0,3562,3334,
0,47123,45883,
1,17491,15915,
1,3521,3248,
1,26171,24168,
0,44213,43216,
1,18113,16332,
0,34704,33900,
0,30717,30086,
0,49723,48743,
1,4373,4019,
1,48749,44146,
0,11596,11539,
1,19879,18376,
1,3404,3168,
1,38998,35946,
0,9322,8890,
0,45749,45405,
0,30619,29834,
1,7225,6698,
0,21486,20964,
0,16134,15532,
1,44213,40106,
0,8366,7984,
0,16784,16365,
0,16783,16780,
0,9920,9358,
0,7340,7028,
0,20395,20194,
0,41263,40572,
1,36529,33690,
1,31243,29178,
0,26944,26340,
0,38117,37341,
0,11376,11376,
0,42597,41114,
1,14242,13307,
0,3626,3506,
0,42455,41847,
0,40081,39172,
1,2512,2346,
0,40652,38893,
0,6743,6678,
0,28747,28127,
0,14011,13997,
0,36632,35376,
1,25051,22871,
1,7688,6950,
0,22516,21061,
0,44996,43159,
0,25244,23820,
0,13222,12914,
0,32622,32364,
1,6951,6328,
1,31578,29218,
0,16500,15563,
0,34034,33146,
0,34216,34055,
0,34796,33863,
0,43380,43247,
1,18447,16826,
0,49927,47403,
0,35210,34374,
1,41955,37766,
1,33497,30888,
1,33262,31040,
1,7307,6627,
1,15614,14185,
0,9174,8811,
0,22164,21684,
1,23249,21193,
0,36389,35158,
0,11704,11108,
0,46486,46459,
0,41348,38715,
0,47907,46558,
0,6190,5841,
1,11613,10465,
1,22589,20809,
0,32573,31152,
0,37067,35374,
0,8953,8948,
0,46680,45008,
0,23241,22087,
1,40445,37730,
0,39147,39008,
1,21589,19639,
1,9589,8819,
1,22417,20933,
0,1259,1201,
0,23477,22935,
0,8003,7900,
0,37636,35420,
0,46777,46738,
0,27536,26265,
1,1871,1698,
0,42944,42417,
0,8484,8215,
0,4094,4072,
0,19470,19439,
0,32969,31873,
1,11537,10385,
1,33938,30667,
0,33448,32685,
1,48790,44631,
0,9349,9278,
1,41434,37965,
1,49644,45962,
1,36958,33507,
0,36443,35902,
1,36509,33497,
0,9840,9259,
0,9380,8962,
0,12694,12155,
0,37496,36417,
1,45264,41785,
1,16801,15687,
0,1555,1536,
0,7186,6914,
0,28601,28073,
0,3112,3012,
0,1214,1204,
0,12976,12619,
1,8283,7700,
0,29376,27762,
0,7625,7207,
0,28568,27085,
0,38525,37349,
1,29069,27143,
0,5892,5718,
1,6425,5886,
1,37762,34018,
0,9272,8709,
0,46882,45278,
0,34273,32521,
0,35063,32906,
0,26176,24473,
1,1025,953,
1,39897,36416,
1,5387,4890,
0,21855,21234,
1,13224,11974,
0,5512,5315,
0,30036,29784,
1,45769,42145,
0,11815,11586,
0,47882,46824,
1,7384,6723,
1,33336,30178,
0,24112,23928,
0,4793,4640,
0,814,814,
0,38421,36495,
1,46221,42106,
0,20118,18945,
0,15861,15235,
0,8243,8047,
1,26594,24223,
1,29291,26718,
0,16266,15355,
0,37393,37326,
0,37832,35385,
