Network failure,Counter A,Counter C,Counter D,Counter F
0,40263,31203,1747,907
0,24332,27693,4294,726
0,45951,24820,83,799
0,3381,21367,2325,948
0,14794,24879,3877,609
0,14321,22531,1526,680
0,7355,32060,3514,824
0,21957,52426,1233,515
1,33477,23071,4410,992
1,47127,48471,115,782
0,20194,52796,1239,719
0,4836,53587,1704,503
0,19598,53793,1618,446
0,22569,18712,2962,486
1,36733,34880,2405,431
1,39568,27011,3608,524
1,25170,42020,313,525
1,42349,50478,3947,450
0,27197,20040,1424,962
0,24752,40967,74,804
0,8011,38610,1651,1019
0,35337,31524,1143,678
0,5256,21933,45,467
0,23195,44609,2622,644
1,46075,50602,2967,736
1,41579,19509,4584,751
1,32170,34327,3744,718
0,6536,33439,1258,493
0,9514,25610,1397,639
0,48177,25663,1006,656
0,11411,46018,3411,538
0,22759,44854,2445,970
0,24243,43694,4461,927
1,27996,39636,2907,687
0,13895,17236,4228,638
0,3693,26410,3572,763
1,44792,51349,2050,453
0,47395,44211,1653,748
0,11672,29180,55,702
1,29160,48711,530,844
0,6975,26630,1395,943
1,46158,34158,3524,828
1,31563,46681,4747,493
0,10923,20987,869,974
0,13063,43220,3024,856
1,30572,51921,3589,541
0,16202,35594,3925,956
0,38480,37405,1756,846
0,7241,26975,1057,725
1,39787,45992,66,844
0,12532,26166,4811,970
0,15703,28925,1471,611
0,4597,24736,4695,861
0,46378,40780,1289,671
1,42707,17208,3764,924
1,43436,33076,2314,494
1,48216,35811,4251,794
0,40201,22635,158,1010
1,37798,18635,4151,487
1,30503,43621,3275,979
0,22388,30147,3014,1020
1,34236,16697,4618,606
0,5061,45319,2000,841
0,26751,29715,1361,787
0,9085,26843,3021,983
0,11456,39568,3412,898
0,5779,36627,47,573
1,35005,43433,4937,777
0,3367,31067,62,722
1,37969,31411,4542,682
0,46338,25563,1327,748
0,14875,34241,1802,471
0,14152,30728,4773,596
0,3241,26460,2514,891
0,3399,52666,4071,779
0,32826,39424,1253,722
0,10477,35049,4757,627
0,7373,42163,47,462
0,33415,30208,944,582
0,24377,21727,527,686
0,40974,40864,925,948
1,40569,43242,1648,481
1,38236,49186,4431,534
0,4435,40471,4966,525
0,2442,24431,3422,649
1,27071,36428,3536,812
0,13361,48816,2134,906
1,32040,46897,1961,808
1,49715,27257,4108,929
1,38327,22353,867,516
1,42721,24660,4057,854
0,48793,17457,1802,571
1,26250,51682,131,788
1,26303,20971,339,489
1,44587,50564,2737,570
0,3546,44759,3598,685
0,3285,51590,3901,934
0,25184,19232,903,845
1,37888,35228,4692,936
1,45899,53389,2567,477
