NE,tDate,jobId,sItem,iValue
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd1.max,78
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd7.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd32.max,91
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd11.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd5.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd34.actual,-2
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd9.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd7.max,84
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd19.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd16.max,110
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd27.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd5.max,98
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd3.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd11.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd10.max,88
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd31.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd17.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd22.actual,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd30.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd32.min,13
CUDB03,2015-09-08 00:00:08,LdapFrontEnds,ldapTpsAtFrontEnd8.actual,13
